,Gender,Age,Annual Income,Spending Score,Labels,labels
150,Male,43,6864000,17,2,High income with low spending
151,Male,39,6864000,88,3,High income with High spending
152,Female,44,6864000,20,2,High income with low spending
153,Female,38,6864000,76,3,High income with High spending
154,Female,47,6864000,16,2,High income with low spending
155,Female,27,6864000,89,3,High income with High spending
156,Male,37,6864000,1,2,High income with low spending
157,Female,30,6864000,78,3,High income with High spending
158,Male,34,6864000,1,2,High income with low spending
159,Female,30,6864000,73,3,High income with High spending
160,Female,56,6952000,35,2,High income with low spending
161,Female,29,6952000,83,3,High income with High spending
162,Male,19,7128000,5,2,High income with low spending
163,Female,31,7128000,93,3,High income with High spending
164,Male,50,7480000,26,2,High income with low spending
165,Female,36,7480000,75,3,High income with High spending
166,Male,42,7568000,20,2,High income with low spending
167,Female,33,7568000,95,3,High income with High spending
168,Female,36,7656000,27,2,High income with low spending
169,Male,32,7656000,63,3,High income with High spending
170,Male,40,7656000,13,2,High income with low spending
171,Male,28,7656000,75,3,High income with High spending
172,Male,36,7656000,10,2,High income with low spending
173,Male,36,7656000,92,3,High income with High spending
174,Female,52,7744000,13,2,High income with low spending
175,Female,30,7744000,86,3,High income with High spending
176,Male,58,7744000,15,2,High income with low spending
177,Male,27,7744000,69,3,High income with High spending
178,Male,59,8184000,14,2,High income with low spending
179,Male,35,8184000,90,3,High income with High spending
180,Female,37,8536000,32,2,High income with low spending
181,Female,32,8536000,86,3,High income with High spending
182,Male,46,8624000,15,2,High income with low spending
183,Female,29,8624000,88,3,High income with High spending
184,Female,41,8712000,39,2,High income with low spending
185,Male,30,8712000,97,3,High income with High spending
186,Female,54,8888000,24,2,High income with low spending
187,Male,28,8888000,68,3,High income with High spending
188,Female,41,9064000,17,2,High income with low spending
189,Female,36,9064000,85,3,High income with High spending
190,Female,34,9064000,23,2,High income with low spending
191,Female,32,9064000,69,3,High income with High spending
192,Male,33,9944000,8,2,High income with low spending
193,Female,38,9944000,91,3,High income with High spending
194,Female,47,10560000,16,2,High income with low spending
195,Female,35,10560000,79,3,High income with High spending
196,Female,45,11088000,28,2,High income with low spending
197,Male,32,11088000,74,3,High income with High spending
198,Male,32,12056000,18,2,High income with low spending
199,Male,30,12056000,83,3,High income with High spending
